75.102.94.199;[22/Sep/2014:16:23:04 -0400];"GET /comp505/505info.html HTTP/1.1";8980
180.76.5.187;[22/Sep/2014:16:45:49 -0400];"GET /cs/cs-prereq.pdf HTTP/1.1";44497
146.186.197.155;[22/Sep/2014:17:19:41 -0400];"GET /cmpsc487/ HTTP/1.1";32707
146.186.197.155;[22/Sep/2014:17:19:42 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.197.155;[22/Sep/2014:17:19:57 -0400];"GET /cmpsc487/CMPSC487W_MinutesRequirmentsOutline.pdf HTTP/1.1";167977
146.186.197.155;[22/Sep/2014:17:19:58 -0400];"GET /cmpsc487/CMPSC487W_MinutesRequirmentsOutline.pdf HTTP/1.1";167977
146.186.197.155;[22/Sep/2014:17:19:58 -0400];"GET /cmpsc487/CMPSC487W_MinutesRequirmentsOutline.pdf HTTP/1.1";167977
146.186.197.155;[22/Sep/2014:17:19:58 -0400];"GET /cmpsc487/CMPSC487W_MinutesRequirmentsOutline.pdf HTTP/1.1";167977
103.245.206.154;[22/Sep/2014:17:29:27 -0400];"GET /favicon.ico HTTP/1.1";1150
123.125.71.44;[22/Sep/2014:18:15:55 -0400];"GET / HTTP/1.1";13520
146.186.197.155;[22/Sep/2014:18:38:00 -0400];"GET /cmpsc487/HW1_DomainAnalysis.pdf HTTP/1.1";78835
146.186.197.155;[22/Sep/2014:18:38:01 -0400];"GET /cmpsc487/HW1_DomainAnalysis.pdf HTTP/1.1";78835
146.186.197.155;[22/Sep/2014:18:38:01 -0400];"GET /cmpsc487/HW1_DomainAnalysis.pdf HTTP/1.1";78835
146.186.197.155;[22/Sep/2014:19:01:06 -0400];"GET /cmpsc487/ HTTP/1.1";32707
97.74.144.99;[22/Sep/2014:19:41:10 -0400];"HEAD /cs/cs-prereq.png HTTP/1.1";126581
123.125.71.111;[22/Sep/2014:20:15:23 -0400];"GET /~null/personal/images/tim-sundown.jpg HTTP/1.1";56303
216.186.154.27;[22/Sep/2014:20:35:34 -0400];"GET / HTTP/1.1";13520
216.186.154.27;[22/Sep/2014:20:35:34 -0400];"GET /index-style.css HTTP/1.1";1498
216.186.154.27;[22/Sep/2014:20:35:37 -0400];"GET /switch-menu.js HTTP/1.1";2685
216.186.154.27;[22/Sep/2014:20:35:37 -0400];"GET /index-style.css HTTP/1.1";1498
216.186.154.27;[22/Sep/2014:20:35:37 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
216.186.154.27;[22/Sep/2014:20:35:37 -0400];"GET /graphics/logo16.png HTTP/1.1";38873
1.186.154.195;[22/Sep/2014:21:23:30 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:27 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:33 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:36 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:26 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:36 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:38 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:39 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:39 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:40 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
1.186.154.195;[22/Sep/2014:21:23:40 -0400];"GET /comp512.papers/Raymond-89.pdf HTTP/1.1";1256004
221.204.7.93;[22/Sep/2014:22:15:35 -0400];"GET /math/math-faculty.html HTTP/1.1";19288
202.46.62.201;[22/Sep/2014:23:14:21 -0400];"GET / HTTP/1.1";13520
103.245.206.154;[22/Sep/2014:23:20:32 -0400];"GET /favicon.ico HTTP/1.1";1150
104.162.48.156;[23/Sep/2014:00:20:04 -0400];"GET /comp416/lectures/slides03-before.pdf HTTP/1.1";66360
104.162.48.156;[23/Sep/2014:00:20:04 -0400];"GET /favicon.ico HTTP/1.1";1150
217.165.98.199;[23/Sep/2014:01:22:38 -0400];"GET /favicon.ico HTTP/1.1";1150
117.206.231.72;[23/Sep/2014:01:26:38 -0400];"GET /ms/msentrance.html HTTP/1.1";11967
117.206.231.72;[23/Sep/2014:01:26:38 -0400];"GET /ms/ms-style.css HTTP/1.1";789
117.206.231.72;[23/Sep/2014:01:26:39 -0400];"GET /favicon.ico HTTP/1.1";1150
202.46.51.73;[23/Sep/2014:02:45:03 -0400];"GET /comp512/singhaldeadsurvey-1.pdf HTTP/1.1";313
83.110.143.4;[23/Sep/2014:04:26:25 -0400];"GET /courses/comp419.taw.s97/exam1/gen.gif HTTP/1.1";3140
141.0.8.132;[23/Sep/2014:05:34:44 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
141.0.8.132;[23/Sep/2014:05:34:44 -0400];"GET /favicon.ico HTTP/1.1";1150
141.0.8.132;[23/Sep/2014:05:34:44 -0400];"GET /cs/cs-style.css HTTP/1.1";795
